titlemeta_ID;titlemeta_author;titlemeta_title;bestseller_author;bestseller_title;bestseller_year;ratio_author;ratio_title
mdp.39015063952744;Sedgwick, Anne Douglas;The little French girl, ;Sedgwick, Anne Douglas;The Little French Girl;1924;100;95
mdp.39015063952744;Sedgwick, Anne Douglas;The little French girl, ;Sedgwick, Anne Douglas;The Little French Girl;1925;100;95
uc1.$b244071;Parrish, Anne;The perennial bachelor  ;Parrish, Anne;The Perennial Bachelor;1925;100;95
uc1.$b56317;Barnes, Margaret Ayer;Within this present, ;Barnes, Margaret Ayer;Within This Present;1934;100;95
uc1.b4097312;Fallada, Hans;Little man, what now?  ;Fallada, Hans;Little Man, What Now?;1933;100;95
mdp.39015046452556;Dinesen, Isak;Seven Gothic tales  ;Dinesen, Isak;Seven Gothic Tales;1934;100;95
uc1.b4078729;Wolfe, Thomas;Of time and the river, ;Wolfe, Thomas;Of Time and the River;1935;100;95
mdp.39015005776847;Mitchell, Margaret;Gone with the wind  ;Mitchell, Margaret;Gone with the Wind;1936;100;95
mdp.39015005776847;Mitchell, Margaret;Gone with the wind  ;Mitchell, Margaret;Gone with the Wind;1937;100;95
uc1.32106002089198;Bellamann, Henry;Kings Row,;Bellamann, Henry;Kings Row;1942;100;95
mdp.39015019181331;Davenport, Marcia;The valley of decision, ;Davenport, Marcia;The Valley of Decision;1943;100;95
mdp.39015005757706;Werfel, Franz;Song of Bernadette  ;Werfel, Franz;The Song of Bernadette;1942;100;95
mdp.39015005757706;Werfel, Franz;Song of Bernadette  ;Werfel, Franz;The Song of Bernadette;1943;100;95
mdp.39015003942102;Goudge, Elizabeth;Green Dolphin street, ;Goudge, Elizabeth;Green Dolphin Street;1944;100;95
mdp.39015051364423;Graham, Gwethalyn;Earth and high heaven  ;Graham, Gwethalyn;Earth and High Heaven;1945;100;95
coo.31924014518330;Williams, Ben Ames;Leave her to heaven, ;Williams, Ben Ames;Leave Her to Heaven;1944;100;95
mdp.39015040760053;Shellabarger, Samuel;Captain from Castile, ;Shellabarger, Samuel;Captain from Castile;1945;100;95
mdp.39015047643500;Janney, Russell;The miracle of the bells  ;Janney, Russell;The Miracle of the Bells;1946;100;95
mdp.39015047643500;Janney, Russell;The miracle of the bells  ;Janney, Russell;The Miracle of the Bells;1947;100;95
uc1.b4083124;Wakeman, Frederic;The hucksters.;Wakeman, Frederic;The Hucksters;1946;100;95
mdp.39015012250489;Streeter, Edward;"Father of the bride; ";Streeter, Edward;Father of the Bride;1949;100;95
uc1.32106002149000;Streeter, Edward;"Father of the bride; ";Streeter, Edward;Father of the Bride;1949;100;95
inu.32000002906495;Du Maurier, Daphne;The parasites.;du Maurier, Daphne;The Parasites;1950;100;95
mdp.39015014862471;Yerby, Frank;Floodtide.;Yerby, Frank;Floodtide;1950;100;95
mdp.39015000643026;Monsarrat, Nicholas;The cruel sea.;Monsarrat, Nicholas;The Cruel Sea;1951;100;95
uc1.b3435087;Uris, Leon;Battle cry.;Uris, Leon;Battle Cry;1953;100;95
